,Data,PREC,RAD,TMAX,TMIN,URMED,U
5112,2021-12-30,3.8000000000000003,5028.46977,21.463636363636365,20.845454545454547,81.97727272727273,0.5590909090909091
5113,2021-12-31,31.0,6879.197,21.13181818181818,20.286363636363635,88.70454545454545,1.4318181818181819
5114,2022-01-01,12.8,8954.935120000002,22.077272727272724,20.927272727272726,82.04545454545455,2.477272727272727
5115,2022-01-02,1.8000000000000003,10306.77771,23.136363636363637,22.181818181818183,81.04545454545455,1.731818181818182
5116,2022-01-03,0.0,14385.976,24.54090909090909,23.459090909090904,76.61363636363636,1.4772727272727273
5117,2022-01-04,28.0,7876.94966,24.113636363636363,22.69090909090909,78.02272727272727,2.459090909090909
5118,2022-01-05,2.6000000000000005,7119.431390000001,23.527272727272727,22.55909090909091,81.02272727272727,2.2227272727272727
5119,2022-01-06,2.6,9167.83107,23.627272727272725,22.599999999999998,81.0,1.1772727272727272
5120,2022-01-07,2.0,7290.764,21.231818181818184,20.79090909090909,87.77272727272727,1.2863636363636362
5121,2022-01-08,27.8,7299.845520000001,21.922727272727272,20.504545454545454,80.20454545454545,1.1500000000000001
5122,2022-01-09,2.8,5943.07467,19.95909090909091,19.281818181818185,84.18181818181819,0.9772727272727273
5123,2022-01-10,0.4,7220.808,20.027272727272727,19.218181818181815,85.02272727272727,0.5272727272727272
5124,2022-01-11,0.0,0.0,21.359999999999996,21.18,87.1,0.2
5125,2022-01-12,0.0,0.0,,,,
5126,2022-01-13,0.0,0.0,,,,
5127,2022-01-14,0.0,0.0,,,,
5128,2022-01-15,0.0,11172.52393,25.513636363636365,23.94090909090909,69.22727272727273,1.85
5129,2022-01-16,1.0,7120.876,21.91818181818182,21.277272727272727,80.75,1.5045454545454542
5130,2022-01-17,0.0,18537.134,25.045454545454547,23.531818181818185,67.4090909090909,1.3545454545454547
5131,2022-01-18,2.8,17597.723420000002,25.827272727272728,24.063636363636363,67.5909090909091,1.290909090909091
5132,2022-01-19,0.2,17883.61062,25.522727272727273,24.163636363636364,67.4090909090909,1.5863636363636362
5133,2022-01-20,0.0,15801.13316,25.395454545454548,24.0,63.70454545454545,1.3818181818181818
5134,2022-01-21,0.0,13399.309150000001,26.55,25.19545454545454,62.79545454545455,0.6409090909090909
5135,2022-01-22,0.0,16052.585449999999,27.481818181818177,26.013636363636362,61.61363636363637,0.8363636363636363
5136,2022-01-23,2.6,19105.62214,27.827272727272728,25.99545454545455,61.40909090909091,1.3454545454545455
5137,2022-01-24,0.0,19801.705,26.772727272727273,25.20909090909091,65.45454545454545,1.2318181818181817
5138,2022-01-25,10.8,17273.387,26.681818181818183,25.068181818181817,64.11363636363636,2.6045454545454545
